src,dst,kind
article-1,article-1.1,HAS_SUBUNIT
article-1.1,article-1.2,HAS_SUBUNIT
article-1.2,article-1.2.a,HAS_SUBUNIT
article-1.2.a,article-1.2.a.b,HAS_SUBUNIT
article-1.2.a.b,article-1.2.a.b.c,HAS_SUBUNIT
article-1.2.a.b.c,article-1.2.a.b.c.d,HAS_SUBUNIT
article-1.2.a.b.c.d,article-1.2.a.b.c.d.e,HAS_SUBUNIT
article-1.2.a.b.c.d.e,article-1.2.a.b.c.d.e.f,HAS_SUBUNIT
article-1.2.a.b.c.d.e.f,article-1.2.a.b.c.d.e.f.g,HAS_SUBUNIT
article-10,article-10.1,HAS_SUBUNIT
article-10.1,article-10.2,HAS_SUBUNIT
article-10.2,article-10.2.a,HAS_SUBUNIT
article-10.2.a,article-10.2.a.b,HAS_SUBUNIT
article-10.2.a.b,article-10.2.a.b.c,HAS_SUBUNIT
article-10.2.a.b.c,article-10.2.a.b.c.d,HAS_SUBUNIT
article-10.2.a.b.c.d,article-10.2.a.b.c.d.e,HAS_SUBUNIT
article-10.2.a.b.c.d.e,article-10.2.a.b.c.d.e.f,HAS_SUBUNIT
article-10.2.a.b.c.d.e.f,article-10.2.a.b.c.d.e.f.g,HAS_SUBUNIT
article-10.2.a.b.c.d.e.f.g,article-10.2.a.b.c.d.e.f.g.h,HAS_SUBUNIT
article-10.2.a.b.c.d.e.f.g.h,article-10.3,HAS_SUBUNIT
article-10.3,article-10.4,HAS_SUBUNIT
article-10.4,article-10.6,HAS_SUBUNIT
article-100,article-100.1,HAS_SUBUNIT
article-100.1,article-100.1.a,HAS_SUBUNIT
article-100.1.a,article-100.1.a.b,HAS_SUBUNIT
article-100.1.a.b,article-100.1.a.b.c,HAS_SUBUNIT
article-100.1.a.b.c,article-100.1.a.b.c.d,HAS_SUBUNIT
article-100.1.a.b.c.d,article-100.1.a.b.c.d.e,HAS_SUBUNIT
article-100.1.a.b.c.d.e,article-100.1.a.b.c.d.e.f,HAS_SUBUNIT
article-100.1.a.b.c.d.e.f,article-100.1.a.b.c.d.e.f.g,HAS_SUBUNIT
article-100.1.a.b.c.d.e.f.g,article-100.2,HAS_SUBUNIT
article-100.2,article-100.3,HAS_SUBUNIT
article-100.3,article-100.4,HAS_SUBUNIT
article-100.4,article-100.5,HAS_SUBUNIT
article-100.5,article-100.6,HAS_SUBUNIT
article-100.6,article-100.7,HAS_SUBUNIT
article-101,article-101.1,HAS_SUBUNIT
article-101.1,article-101.1.a,HAS_SUBUNIT
article-101.1.a,article-101.1.a.b,HAS_SUBUNIT
article-101.1.a.b,article-101.1.a.b.c,HAS_SUBUNIT
article-101.1.a.b.c,article-101.1.a.b.c.d,HAS_SUBUNIT
article-101.1.a.b.c.d,article-101.2,HAS_SUBUNIT
article-101.2,article-101.3,HAS_SUBUNIT
article-101.3,article-101.4,HAS_SUBUNIT
article-101.4,article-101.5,HAS_SUBUNIT
article-101.5,article-101.6,HAS_SUBUNIT
article-105,article-105.5,HAS_SUBUNIT
article-106,article-106.12,HAS_SUBUNIT
article-107,article-107.4,HAS_SUBUNIT
article-108,article-108.1,HAS_SUBUNIT
article-108.1,article-108.1.3,HAS_SUBUNIT
article-108.1.3,article-108.2,HAS_SUBUNIT
article-108.2,article-108.2.4,HAS_SUBUNIT
article-108.2.4,article-108.3,HAS_SUBUNIT
article-108.3,article-108.3.4,HAS_SUBUNIT
article-108.3.4,article-108.4,HAS_SUBUNIT
article-108.4,article-108.4.3,HAS_SUBUNIT
article-108.4.3,article-108.5,HAS_SUBUNIT
article-108.5,article-108.6,HAS_SUBUNIT
article-108.6,article-108.6.3,HAS_SUBUNIT
article-109,article-109.3,HAS_SUBUNIT
article-11,article-11.1,HAS_SUBUNIT
article-11.1,article-11.2,HAS_SUBUNIT
article-11.2,article-11.3,HAS_SUBUNIT
article-110,article-110.68,HAS_SUBUNIT
article-111,article-111.1,HAS_SUBUNIT
article-111.1,article-111.2,HAS_SUBUNIT
article-111.2,article-111.3,HAS_SUBUNIT
article-111.3,article-111.4,HAS_SUBUNIT
article-112,article-112.1,HAS_SUBUNIT
article-112.1,article-112.2,HAS_SUBUNIT
article-112.2,article-112.2.a,HAS_SUBUNIT
article-112.2.a,article-112.2.a.b,HAS_SUBUNIT
article-112.2.a.b,article-112.2.a.b.c,HAS_SUBUNIT
article-112.2.a.b.c,article-112.3,HAS_SUBUNIT
article-112.3,article-112.4,HAS_SUBUNIT
article-112.4,article-112.4.a,HAS_SUBUNIT
article-112.4.a,article-112.4.a.b,HAS_SUBUNIT
article-112.4.a.b,article-112.4.a.b.c,HAS_SUBUNIT
article-112.4.a.b.c,article-112.4.a.b.c.d,HAS_SUBUNIT
article-112.4.a.b.c.d,article-112.5,HAS_SUBUNIT
article-112.5,article-112.6,HAS_SUBUNIT
article-112.6,article-112.7,HAS_SUBUNIT
article-112.7,article-112.8,HAS_SUBUNIT
article-112.8,article-112.9,HAS_SUBUNIT
article-112.9,article-112.10,HAS_SUBUNIT
article-112.10,article-112.11,HAS_SUBUNIT
article-112.11,article-112.11.a,HAS_SUBUNIT
article-112.11.a,article-112.11.a.b,HAS_SUBUNIT
article-112.11.a.b,article-112.11.a.b.c,HAS_SUBUNIT
article-112.11.a.b.c,article-112.12,HAS_SUBUNIT
article-112.12,article-112.13,HAS_SUBUNIT
article-113,article-113.a,HAS_SUBUNIT
article-113.a,article-113.b,HAS_SUBUNIT
article-113.b,article-113.c,HAS_SUBUNIT
article-113.c,article-113.c.i,HAS_SUBUNIT
